Medium,Name,Link,Follower,Engagement,Average Impression,,TOTAL ENG,ESTIMATED TOTAL IMPRESSION,Total Follower
Instagram,all.yesul,https://www.instagram.com/p/DPdXTE-CTwu/?igsh=N3NxYzE4ZXR5dXp0,12841,86,2150,,,,
Instagram,medyailanlari,https://www.instagram.com/p/DPQaqceiDPf/?igsh=MWVycDRybTF2Y2N3YQ==,23791,141,2150,,,,
Instagram,creapills,https://www.instagram.com/p/DPOjCbejCIo/?igsh=MWRoc2l2ZmxzbG4zbg==,724302,2830,22000,,,,
Instagram,adpor.n,https://www.instagram.com/p/DPOMhPviKb-/?igsh=MXVrb2dvcWNmYTQydA==,32788,73,2150,,,,
Instagram,ajansgiller,https://www.instagram.com/p/DPNzMxPDAgW/?igsh=MXgyaGk4bmNqeTZxcA==,37352,397,2150,,,,
Instagram,danstapub,https://www.instagram.com/p/DPLlleXiP8b/?igsh=ODBkZWtuYzg2OGt4,65182,315,6917,,,,
Instagram,we_are_represent,https://www.instagram.com/p/DPoDJB1jZ_Q/?igsh=ZWJxcDV3azd5bHlt,6936,10,935,,,,
LinkedIn,PuroMerca.,https://www.linkedin.com/feed/update/urn:li:activity:7382465027909476352/?actorCompanyId=633683,2018,12,932,,,,
LinkedIn,Teknoloji ve İnovasyon,https://www.linkedin.com/feed/update/urn:li:activity:7383381237798797312/?actorCompanyId=633683,114818,5,25272,,,,
LinkedIn,Iranads | ایران‌ادزIra,https://www.linkedin.com/posts/iranads%2Eclub_%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86%DB%8C-%D8%AF%D8%B1-%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%D8%A8%D9%88%D9%84-%D8%A8%D9%87-%DB%8C%DA%A9%DB%8C-%D8%A7%D8%B2-%D8%AE%D9%84%D8%A7%D9%82%D8%A7%D9%86%D9%87%D8%AA%D8%B1%DB%8C%D9%86-activity-7382995975734431744-HaKc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAbHPW4B7exDHsNKXakPt09LhZ2PZhICmGQ,2373,13,932,,,,
LinkedIn,Diogo Paixão,https://www.linkedin.com/posts/diogopaixao_h%C3%A1-campanhas-que-n%C3%A3o-precisam-de-palavras-activity-7383406989386629121-IdzC?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAbHPW4B7exDHsNKXakPt09LhZ2PZhICmGQ,8393,17,1896,,,,
LinkedIn,Kartikkey Shrivastava,https://www.linkedin.com/posts/kartikkeyshrivastava_creative-improvement-activity-7383740846388613121-4eai?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAbHPW4B7exDHsNKXakPt09LhZ2PZhICmGQ,1503,1,932,,,,
LinkedIn,Pablo Petovel,https://www.linkedin.com/feed/update/urn:li:activity:7400363591666855936/?actorCompanyId=633683,500,52,531,,,,
LinkedIn,retargetingOOH.com,https://www.linkedin.com/feed/update/urn:li:activity:7384467748401217536/?actorCompanyId=633683,845,6,531,,,,
Instagram,gamador.life,https://www.instagram.com/p/DRfVQwgDNep/?igsh=MXViZWZjc3Z2eDlrZQ==,26000,42,10000,,,,
